file,lines,tests,each_loops,expects,density,phpdoc_ep,phpdoc_sub,classification
access-control.spec.ts,86,5,0,7,1.40,0,0,Substantial
auth.spec.ts,28,2,0,4,2.00,0,0,Smoke
calendar.spec.ts,45,2,0,6,3.00,0,0,Smoke
family.spec.ts,50,3,0,4,1.33,0,0,Substantial
homepage.spec.ts,45,2,0,4,2.00,0,0,Smoke
individual.spec.ts,45,2,0,3,1.50,0,0,Smoke
login.spec.ts,49,3,0,4,1.33,0,0,Substantial
navigation.spec.ts,61,3,0,5,1.67,0,0,Substantial
pedigree.spec.ts,43,2,0,3,1.50,0,0,Smoke
privacy-charts.spec.ts,49,2,0,2,1.00,0,0,Smoke
privacy-relationship.spec.ts,57,3,0,3,1.00,0,0,Substantial
privacy-resn.spec.ts,97,7,0,9,1.29,0,0,Smoke
privacy-search.spec.ts,54,4,0,4,1.00,0,0,Smoke
privacy-visibility.spec.ts,89,5,0,5,1.00,0,0,Substantial
records.spec.ts,76,5,0,15,3.00,0,0,Substantial
search-forms.spec.ts,45,2,0,6,3.00,0,0,Smoke
search-replace.spec.ts,69,3,0,6,2.00,0,0,Substantial
security/data-access.spec.ts,56,4,0,8,2.00,0,0,Substantial
security/media-access.spec.ts,50,3,0,3,1.00,0,0,Substantial
security/public-access.spec.ts,45,3,0,4,1.33,0,0,Substantial
security/security-headers.spec.ts,47,4,0,6,1.50,0,0,Smoke
security/setup-lock.spec.ts,52,3,0,4,1.33,0,0,Substantial
security/wizard-setup.spec.ts,86,4,0,10,2.50,0,0,Substantial
source-list.spec.ts,45,2,0,4,2.00,0,0,Smoke
upload-validation.spec.ts,103,4,0,6,1.50,0,0,Substantial
user-pages.spec.ts,52,3,0,8,2.67,0,0,Substantial
