file,lines,methods,providers,assertions,density,phpdoc_ep,phpdoc_sub,classification
AccessControlTest.php,295,12,0,32,2.67,0,0,EP-complete
AccountSelfManagementIntegrationTest.php,532,12,0,24,2.00,0,0,EP-complete
AddMediaFileActionIntegrationTest.php,174,3,0,4,1.33,0,0,Substantial
AddRelationIntegrationTest.php,788,25,1,12,0.48,0,0,Smoke
AdminMediaManagementIntegrationTest.php,235,8,0,11,1.38,0,0,Substantial
AutoCompleteIntegrationTest.php,405,10,0,26,2.60,0,0,EP-complete
BadBotBlockerIntegrationTest.php,217,8,2,9,1.12,0,0,Substantial
BaseUrlMiddlewareIntegrationTest.php,126,4,0,16,4.00,0,0,Substantial
BlockModuleIntegrationTest.php,266,11,1,15,1.36,0,0,Substantial
BootModulesMiddlewareIntegrationTest.php,82,2,0,2,1.00,0,0,Smoke
BootstrapOnlyIntegrationTest.php,210,14,0,20,1.43,0,0,Substantial
CalendarChartIntegrationTest.php,364,14,0,21,1.50,0,0,Substantial
ChangeFamilyMembersActionIntegrationTest.php,157,5,0,15,3.00,0,0,Substantial
ChartModuleIntegrationTest.php,728,29,4,28,0.97,0,0,EP-complete
CheckForNewVersionMiddlewareIntegrationTest.php,96,4,0,4,1.00,0,0,Substantial
CheckTreeIntegrationTest.php,154,5,0,5,1.00,0,0,Substantial
ClientIpMiddlewareIntegrationTest.php,130,5,0,6,1.20,0,0,Substantial
CliSettingsBatchIntegrationTest.php,308,17,0,25,1.47,0,0,Substantial
CompilePoFilesCommandIntegrationTest.php,101,2,0,6,3.00,0,0,Smoke
CompressResponseMiddlewareIntegrationTest.php,209,9,0,16,1.78,0,0,Substantial
ConfigIniCommandIntegrationTest.php,191,5,0,11,2.20,0,0,Substantial
ContactFormIntegrationTest.php,305,11,0,8,0.73,0,0,Smoke
ContentLengthMiddlewareIntegrationTest.php,102,4,0,6,1.50,0,0,Substantial
CopyFactIntegrationTest.php,301,6,0,6,1.00,0,0,Substantial
CreateSubrecordIntegrationTest.php,570,18,0,44,2.44,0,0,EP-complete
DataMaintenanceIntegrationTest.php,189,8,0,8,1.00,0,0,Substantial
DebugLoggerMiddlewareIntegrationTest.php,108,4,0,11,2.75,0,0,Substantial
DeleteRecordIntegrationTest.php,117,3,0,5,1.67,0,0,Substantial
DoHousekeepingMiddlewareIntegrationTest.php,99,3,0,4,1.33,0,0,Substantial
EditFactIntegrationTest.php,449,12,0,13,1.08,0,0,Substantial
