file,lines,tests,each_loops,expects,density,phpdoc_ep,phpdoc_sub,classification
access-control.spec.ts,88,5,0,7,1.40,0,0,Substantial
account-self-management.spec.ts,29,3,0,4,1.33,0,0,Smoke
advanced-search-execution.spec.ts,61,4,0,5,1.25,0,0,Substantial
auth.spec.ts,30,2,0,4,2.00,0,0,Smoke
calendar.spec.ts,37,2,0,6,3.00,0,0,Smoke
chart-types.spec.ts,46,2,0,4,2.00,0,0,Smoke
contact-form.spec.ts,50,3,0,5,1.67,0,0,Substantial
error-handling.spec.ts,61,5,0,8,1.60,0,0,Smoke
fact-edit.spec.ts,41,3,0,6,2.00,0,0,Substantial
family.spec.ts,42,3,0,4,1.33,0,0,Smoke
help-texts.spec.ts,49,3,0,7,2.33,0,0,Substantial
homepage-blocks.spec.ts,38,3,0,4,1.33,0,0,Smoke
homepage.spec.ts,37,2,0,4,2.00,0,0,Smoke
individual.spec.ts,37,2,0,3,1.50,0,0,Smoke
interactive-tree.spec.ts,44,3,0,6,2.00,0,0,Substantial
legacy-url-redirects.spec.ts,100,8,0,19,2.38,0,0,Substantial
login.spec.ts,51,3,0,4,1.33,0,0,Substantial
media-admin.spec.ts,81,6,0,12,2.00,0,0,Substantial
media-object.spec.ts,40,3,0,6,2.00,0,0,Substantial
merge-records.spec.ts,58,5,0,9,1.80,0,0,Smoke
module-configuration.spec.ts,35,2,0,3,1.50,0,0,Smoke
navigation.spec.ts,53,3,0,5,1.67,0,0,Substantial
pedigree.spec.ts,35,2,0,3,1.50,0,0,Smoke
pending-changes.spec.ts,163,6,0,17,2.83,0,0,Substantial
person-family-create.spec.ts,43,4,0,8,2.00,0,0,Substantial
phonetic-search-execution.spec.ts,80,5,0,7,1.40,0,0,Substantial
privacy-charts.spec.ts,51,2,0,2,1.00,0,0,Smoke
privacy-relationship.spec.ts,59,3,0,3,1.00,0,0,Substantial
privacy-resn.spec.ts,99,7,0,9,1.29,0,0,Smoke
privacy-search.spec.ts,56,4,0,4,1.00,0,0,Smoke
privacy-visibility.spec.ts,91,5,0,5,1.00,0,0,Substantial
raw-gedcom-edit.spec.ts,25,2,0,4,2.00,0,0,Smoke
records.spec.ts,68,5,0,15,3.00,0,0,Substantial
relationship-chart.spec.ts,43,3,0,7,2.33,0,0,Substantial
reorder.spec.ts,28,3,0,6,2.00,0,0,Substantial
search-forms.spec.ts,37,2,0,6,3.00,0,0,Smoke
search-pagination.spec.ts,53,3,0,4,1.33,0,0,Substantial
search-replace.spec.ts,57,3,0,6,2.00,0,0,Substantial
security/data-access.spec.ts,56,4,0,8,2.00,0,0,Substantial
security/media-access.spec.ts,50,3,0,3,1.00,0,0,Substantial
security/public-access.spec.ts,45,3,0,4,1.33,0,0,Substantial
security/security-headers.spec.ts,47,4,0,6,1.50,0,0,Smoke
security/setup-lock.spec.ts,52,3,0,4,1.33,0,0,Substantial
security/wizard-setup.spec.ts,86,4,0,10,2.50,0,0,Substantial
source-list.spec.ts,37,2,0,4,2.00,0,0,Smoke
statistics-page.spec.ts,36,3,0,4,1.33,0,0,Smoke
subrecord-create.spec.ts,43,4,0,8,2.00,0,0,Substantial
tomselect-autocomplete.spec.ts,62,5,0,10,2.00,0,0,Substantial
tree-management.spec.ts,63,4,0,11,2.75,0,0,Substantial
tree-preferences.spec.ts,25,2,0,4,2.00,0,0,Smoke
upload-validation.spec.ts,95,4,0,6,1.50,0,0,Substantial
user-admin.spec.ts,30,3,0,7,2.33,0,0,Substantial
user-edit-admin.spec.ts,38,4,0,8,2.00,0,0,Substantial
user-messages.spec.ts,57,4,0,6,1.50,0,0,Smoke
user-pages.spec.ts,44,3,0,8,2.67,0,0,Substantial
